CONSISTENZA DEL PARCO AUTOVETTURE NELLE REGIONI;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Tab.III.9
REGIONI;2000;2005;2010;2015;2020;2022;2024;2000;2005;2010;2015;2020;2022;2024
;Valori assoluti;;;;;;;Numeri indice;;;;;;
Piemonte;2.635.135;2.703.252;2.782.541;2.844.680;2.915.687;2.900.449;3.075.162;100,0;102,6;105,6;108,0;110,6;110,1;116,7
Valle D'Aosta;128.007;131.960;134.836;145.266;221.721;287.951;237.162;100,0;103,1;105,3;113,5;173,2;224,9;185,3
Lombardia;5.285.721;5.555.076;5.808.621;5.923.849;6.231.939;6.272.187;6.426.326;100,0;105,1;109,9;112,1;117,9;118,7;121,6
Trentino A.A.;499.130;530.570;566.833;885.769;1.162.970;1.276.378;1.291.248;100,0;106,3;113,6;177,5;233,0;255,7;258,7
Veneto;2.607.903;2.782.469;2.939.099;3.011.316;3.198.100;3.221.693;3.302.750;100,0;106,7;112,7;115,5;122,6;123,5;126,6
Friuli V.G.;700.705;734.233;763.144;773.619;808.422;812.503;828.929;100,0;104,8;108,9;110,4;115,4;116,0;118,3
Liguria;821.275;823.377;841.795;828.022;845.474;843.142;850.098;100,0;100,3;102,5;100,8;102,9;102,7;103,5
Emilia Romagna;2.447.258;2.565.694;2.699.973;2.774.237;2.930.808;2.961.375;3.082.830;100,0;104,8;110,3;113,4;119,8;121,0;126,0
Toscana;2.128.194;2.259.906;2.383.004;2.404.912;2.597.511;2.634.922;2.722.906;100,0;106,2;112,0;113,0;122,1;123,8;127,9
Umbria;528.615;571.572;606.957;616.747;646.746;646.307;659.203;100,0;108,1;114,8;116,7;122,3;122,3;124,7
Marche;880.338;950.158;990.070;996.765;1.040.940;1.043.160;1.063.668;100,0;107,9;112,5;113,2;118,2;118,5;120,8
Lazio;3.333.515;3.570.238;3.832.999;3.702.312;3.819.488;3.857.390;4.000.575;100,0;107,1;115,0;111,1;114,6;115,7;120,0
Abruzzo;706.248;781.952;840.222;850.557;898.595;903.081;923.548;100,0;110,7;119,0;120,4;127,2;127,9;130,8
Molise;158.699;183.118;198.311;204.479;215.398;215.043;220.815;100,0;115,4;125,0;128,8;135,7;135,5;139,1
Campania;2.996.093;3.189.250;3.404.842;3.346.960;3.572.920;3.612.878;3.725.175;100,0;106,4;113,6;111,7;119,3;120,6;124,3
Puglia;1.925.022;2.106.221;2.279.824;2.259.932;2.424.306;2.451.311;2.515.558;100,0;109,4;118,4;117,4;125,9;127,3;130,7
Basilicata;283.295;319.935;350.021;361.041;381.127;383.305;391.305;100,0;112,9;123,6;127,4;134,5;135,3;138,1
Calabria;976.547;1.088.187;1.195.069;1.222.913;1.319.074;1.338.121;1.376.514;100,0;111,4;122,4;125,2;135,1;137,0;141,0
Sicilia;2.669.793;2.876.953;3.113.289;3.169.439;3.389.773;3.438.078;3.508.207;100,0;107,8;116,6;118,7;127,0;128,8;131,4
Sardegna;839.915;918.727;992.959;1.011.519;1.080.370;1.097.782;1.122.826;100,0;109,4;118,2;120,4;128,6;130,7;133,7
Non identif.;32.407;24.637;26.902;16.899;16.505;16.005;15.711;100,0;76,0;83,0;52,1;50,9;49,4;48,5
ITALIA;32.583.815;34.667.485;36.751.311;37.351.233;39.717.874;40.213.061;41.340.516;100,0;106,4;112,8;114,6;121,9;123,4;126,9
;;;;;;;;;;;;;;
Fonte: A.C.I. - Statistiche automobilistiche;;;;;;;;;;;;;;